,natureza_acidente,bairro,tipo,condicao_via,dia_da_semana,mes,ano,hora_bruta
587,1,12,9,1,6,1,2018,14
588,1,58,9,1,6,1,2018,14
589,1,78,9,1,6,1,2018,15
590,1,50,9,1,6,1,2018,17
591,1,13,9,1,6,1,2018,17
592,1,87,9,1,6,1,2018,18
593,1,58,9,1,6,1,2018,18
594,1,10,9,1,6,1,2018,20
595,1,84,2,1,6,1,2018,21
596,1,81,9,1,6,1,2018,23
597,1,12,9,1,0,1,2018,5
598,1,12,9,1,0,1,2018,6
599,1,58,9,1,0,1,2018,8
600,1,67,9,1,0,1,2018,8
601,1,85,9,1,0,1,2018,8
602,1,50,9,1,0,1,2018,9
603,1,78,9,1,0,1,2018,9
604,1,49,9,1,0,1,2018,9
605,1,35,9,1,0,1,2018,10
606,1,12,9,1,0,1,2018,10
607,1,57,9,1,0,1,2018,10
608,1,12,9,1,0,1,2018,10
609,1,12,9,1,0,1,2018,10
610,1,20,5,1,0,1,2018,10
611,1,78,9,1,0,1,2018,10
612,1,58,9,1,0,1,2018,11
613,1,34,9,1,0,1,2018,11
614,1,76,9,1,0,1,2018,12
615,1,1,9,1,0,1,2018,12
616,0,22,9,1,0,1,2018,12
617,1,39,9,1,0,1,2018,12
618,1,7,9,1,0,1,2018,12
619,1,69,9,1,0,1,2018,13
620,0,64,3,1,0,1,2018,13
621,1,78,9,1,0,1,2018,13
622,0,74,9,1,0,1,2018,13
623,1,8,9,1,0,1,2018,14
624,1,0,9,1,0,1,2018,14
625,1,34,9,1,0,1,2018,14
626,1,25,9,1,0,1,2018,14
627,1,49,9,1,0,1,2018,14
628,0,1,9,1,0,1,2018,15
629,1,46,9,1,0,1,2018,15
630,1,58,9,1,0,1,2018,15
631,1,31,9,1,0,1,2018,17
632,1,12,9,1,0,1,2018,18
633,1,54,9,1,0,1,2018,19
634,1,84,13,1,0,1,2018,19
635,1,69,9,1,0,1,2018,19
636,1,90,9,1,0,1,2018,19
637,1,45,9,1,0,1,2018,20
638,0,50,9,1,0,1,2018,20
639,0,25,9,1,0,1,2018,20
640,1,12,9,1,0,1,2018,22
641,1,12,6,1,1,1,2018,3
642,1,81,9,1,1,1,2018,6
643,1,49,9,1,1,1,2018,6
644,1,49,9,1,1,1,2018,7
645,1,74,9,1,1,1,2018,7
646,1,35,9,1,1,1,2018,7
